gene	locus tag	accession number (protein_id)	description	reference	source	class
aap	EC042_pAA055		dispersin	Escherichia coli O44:H18 042 plasmid pAA (EAEC)	VFDB R2	Adhesion_invasion
aatA	EC042_pAA008		dispersin secretion locus ABC transporter	Escherichia coli O44:H18 042 plasmid pAA (EAEC)	VFDB R2	Adhesion_invasion
aatB	EC042_pAA009		dispersin secretion locus ABC transporter	Escherichia coli O44:H18 042 plasmid pAA (EAEC)	VFDB R2	Adhesion_invasion
aatC	EC042_pAA010		dispersin secretion locus ABC transporter	Escherichia coli O44:H18 042 plasmid pAA (EAEC)	VFDB R2	Adhesion_invasion
aatD	EC042_pAA011		dispersin secretion locus ABC transporter	Escherichia coli O44:H18 042 plasmid pAA (EAEC)	VFDB R2	Adhesion_invasion
aatP	EC042_pAA007		dispersin secretion locus ABC transporter	Escherichia coli O44:H18 042 plasmid pAA (EAEC)	VFDB R2	Adhesion_invasion
bmaE	ECOBMAE	AAA23523	M-agglutinin subunit	Escherichia coli IH11165	manually	Adhesion_invasion
csgG	Z1670		curli fibers	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
csgF	Z1671		curli fibers	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
csgE	Z1672		curli fibers	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
csgD	Z1673		curli fibers	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
csgB	Z1675		curli fibers	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
csgA	Z1676		curli fibers	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
csgC	Z1677		curli fibers	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
hra1	ECU07174	AAC13753	heat resistant agglutinin 1	Escherichia coli O9:H10:K99 (UPEC)	manually	Adhesion_invasion
ibeB	ECOK1_0581		invasion of brain endothelial cells	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R2	Adhesion_invasion
ibeC	ECOK1_4427		invasion of brain endothelial cells	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R2	Adhesion_invasion
ibeA	ECOK1_4837		invasion of brain endothelial cells	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R2	Adhesion_invasion
iha	c3610		bifunctional enterobactin receptor/adhesin protein	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Adhesion_invasion
nlpI	ECS88_3547		lipoprotein NlpI	Escherichia coli O45:K1:H7 S88 (MNEC)	VFDB R3	Adhesion_invasion
ompA	Z1307		outer membrane protein A	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
paa	Z2053		porcine attaching-effacing associated protein	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
tcpC	c2398	NP_754290	TIR domain containing protein	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Adhesion_invasion
tia	ETEC_3907		Tia/Hek, toxigenic invasion locus	Escherichia coli O78:K80:H11 H10407 (ETEC)	VFDB R3	Adhesion_invasion
toxB	L7095		putative cytotoxin	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Adhesion_invasion
traJ	TRAJ3_ECOLX	P13949	conjugal transfer protein TraJ	Escherichia coli	VFDB R1	Adhesion_invasion
aatA		ADJ53351	autotransporter adhesin (AIDA-I type)	Escherichia coli DE205	manually	Autotransporter_T5SS
aidA		CAA46156	AIDA-I (AIDA-I type)	Escherichia coli O126:H27:K12 2787 (DAEC)	VFDB R3	Autotransporter_T5SS
cah	ECSP_1319		calcium-binding Antigen43 homologue (AIDA-I type)	Escherichia coli O157:H7 TW14359 (EHEC)	VFDB R3	Autotransporter_T5SS
eaaA	ECED1_2484	YP_002398404	serine protease autotransporter (SPATE)	Escherichia coli O81 ED1a (NPEC)	manually	Autotransporter_T5SS
eatA	EcE24377A_E0051		secreted serine peptidase EatA (SPATE)	Escherichia coli O139:H28 E24377A (ETEC)	VFDB R3	Autotransporter_T5SS
ehaA	Z0402	NP_286049	beta-barrel outer membrane protein (SPATE, AIDA-I type)	Escherichia coli O157:H7 EDL933 (EHEC)	manually	Autotransporter_T5SS
ehaB	Z0469	NP_286112	autotransporter (SPATE, AIDA-I type)	Escherichia coli O157:H7 EDL933 (EHEC)	manually	Autotransporter_T5SS
